Country,2018_Export,2017_Export,2018_Import,2017_Import,2018_Balance,2017_Balance,group
China,68290438483,1.20E+11,2.98E+11,5.04E+11,-2.29E+11,-3.84E+11,China
Mexico,1.18E+11,1.87E+11,1.98E+11,3.13E+11,-80206326308,-1.26E+11,Latin america
Japan,38275826010,61331533547,82268233629,1.36E+11,-43992407619,-74307608593,Other Asian
Germany,28882318545,45961488056,72771522904,1.16E+11,-43889204359,-70041336701,EU15
Canada,1.46E+11,2.34E+11,1.87E+11,2.98E+11,-40819462245,-64685349440,Canada
Ireland,5700623095,9680029158,32792914267,49804617926,-27092291172,-40124588768,EU15
Vietnam,4836948135,6972141462,27227450333,46038819699,-22390502198,-39066678237,Other Asian
Italy,12167253440,16322904780,31532081972,49938772541,-19364828532,-33615867761,EU15
India,14462465593,20120984512,31960627792,48702891203,-17498162199,-28581906691,Other Asian
Malaysia,6053241775,10579778029,22810143347,37263542211,-16756901572,-26683764182,Other Asian
Switzerland,9297825831,16365194018,24021243038,35612964895,-14723417207,-19247770877,Other Europe
France,17376315983,28667671460,30723176826,48441107106,-13346860843,-19773435646,EU15
Thailand,6260158344,9343873616,18507871927,31122644054,-12247713583,-21778770438,Other Asian
Korea,30257223759,45185470374,41668795942,70809420271,-11411572183,-25623949897,Other Asian
Taiwan,14684642496,23308417294,25518826692,42300095610,-10834184196,-18991678316,China
Israel,4778077308,6989499590,13418527423,22286121170,-8640450115,-15296621580,Middle East 
Russia,3671967361,6389859945,11713732811,17102579795,-8041765450,-10712719850,Other Europe
Indonesia,4318461025,6679970983,12087331517,20192790899,-7768870492,-13512819916,Other Asian
Iraq,794568181,1139994104,8112657769,10075560989,-7318089588,-8935566885,Middle East 
Austria,1863506704,3956972142,7601805066,11526051252,-5738298362,-7569079110,EU15
Sweden,2212986756,3359924370,7017933389,10615207942,-4804946633,-7255283572,EU15
Venezuela,3244282415,3938968563,7645596108,11412669661,-4401313693,-7473701098,Latin america
Saudi Arabia,7667752817,15457311984,11867361707,18597963766,-4199608890,-3140651782,Middle East 
Spain,6959053962,10289149108,10842042037,15312258059,-3882988075,-5023108951,EU15
Denmark,1338638852,1929469617,4958415472,7613045949,-3619776620,-5683576332,EU15
Finland,988556718,1400096710,4135473943,5807019653,-3146917225,-4406922943,EU15
Bangladesh,1082925732,1441662313,3644070359,5661162095,-2561144627,-4219499782,Others
Philippines,4588981335,7817807500,7046750454,11599702439,-2457769119,-3781894939,Other Asian
Nigeria,1392029070,2108140748,3688214878,7137399351,-2296185808,-5029258603,Africa
Hungary,799719549,1516513791,2914795007,4938179870,-2115075458,-3421666079,Other Europe
South Africa,2877069984,4381667251,4888818884,8027689346,-2011748900,-3646022095,Africa
Cambodia,221089670,363730079,2105233553,3065949920,-1884143883,-2702219841,Other Asian
Algeria,547254270,1004290765,2423507388,3933901685,-1876253118,-2929610920,Africa
Slovak Republic,158031674,414528261,1875759105,3005515662,-1717727431,-2590987401,Other Europe
Portugal,728588179,1080809490,2338034138,3434758307,-1609445959,-2353948817,EU15
Poland,3082626564,4008626829,4596424398,6992530300,-1513797834,-2983903471,Other Europe
Sri Lanka,203076150,311753651,1678272698,2872611584,-1475196548,-2560857933,Other Asian
Angola,287013662,789256736,1695968979,2650632979,-1408955317,-1861376243,Africa
